"FLIGHT_DATE","Capacity/Staffing","Disruptions (ATC)","Weather","Other"
2022-06-01,47490.4285714286,381.428571428571,5120,22669.5714285714
2022-06-02,47839,254.285714285714,5865.28571428571,23371.4285714286
2022-06-03,50222,220.857142857143,12659.8571428571,25681.7142857143
2022-06-04,56187.4285714286,796.285714285714,17280,27977.5714285714
2022-06-05,50115.4285714286,767.142857142857,28972.2857142857,27929.4285714286
2022-06-06,50372.1428571429,912.857142857143,31217.7142857143,26862.7142857143
2022-06-07,50893.1428571429,1266.85714285714,31595.4285714286,28196
2022-06-08,54397.7142857143,1691.14285714286,32849.4285714286,26967.2857142857
2022-06-09,52361.1428571429,1691.14285714286,34054.4285714286,26851
2022-06-10,52057.4285714286,1698.42857142857,28575.4285714286,24243.2857142857
2022-06-11,44528.1428571429,1177,24916.1428571429,21446.8571428571
2022-06-12,43110.8571428571,1161.71428571429,13299.4285714286,19611.1428571429
2022-06-13,40146.2857142857,985.714285714286,11069.5714285714,20522
2022-06-14,39898,624.571428571429,9919.85714285714,20212.5714285714
2022-06-15,38922.5714285714,7368,9584.71428571429,23347.7142857143
2022-06-16,40079.2857142857,11223.2857142857,10444.7142857143,22662.1428571429
2022-06-17,40217.4285714286,14219.4285714286,9104.14285714286,23714.1428571429
2022-06-18,46056,15692.8571428571,8115.28571428571,26187
2022-06-19,51609.7142857143,15811.1428571429,13064,28616.1428571429
2022-06-20,51971.5714285714,15986.1428571429,21886.8571428571,29179.5714285714
2022-06-21,53217.4285714286,16161.5714285714,23853.2857142857,32693
2022-06-22,53572.7142857143,9705.14285714286,28862.8571428571,33252.4285714286
2022-06-23,53731,6198.71428571429,33621.5714285714,34984.8571428571
2022-06-24,55910.7142857143,3352.85714285714,48890.1428571429,36561.7142857143
2022-06-25,52644,9122.85714285714,55525.5714285714,36857.8571428571
2022-06-26,50293.1428571429,16021.2857142857,50697.5714285714,37712.8571428571
2022-06-27,53070,15883.4285714286,49980.5714285714,38277.7142857143
2022-06-28,55368.2857142857,15970.7142857143,56643.1428571429,35580.1428571429
2022-06-29,55807.2857142857,16077.7142857143,52576,35248.4285714286
2022-06-30,59159.2857142857,16151.2857142857,59319,37577.2857142857
2022-07-01,63217.7142857143,16040.1428571429,48223.2857142857,40894.4285714286
2022-07-02,67561.2857142857,8766.57142857143,43294.5714285714,41978.2857142857
2022-07-03,67242.1428571429,1790.57142857143,43822,39232.2857142857
2022-07-04,65460.5714285714,1991,41580.1428571429,37726.5714285714
2022-07-05,63916.8571428571,1819.71428571429,38493.5714285714,36623.2857142857
2022-07-06,65436,912.857142857143,37846.2857142857,34881.5714285714
2022-07-07,66053.8571428571,491.428571428571,24795.7142857143,31663.8571428571
2022-07-08,63834.5714285714,443.857142857143,20859.7142857143,26967.4285714286
2022-07-09,64592.4285714286,485.285714285714,18488.8571428571,25823.5714285714
2022-07-10,65949.8571428571,447.857142857143,17274.4285714286,25922.2857142857
2022-07-11,69309.8571428571,248.285714285714,11179.5714285714,27941.8571428571
2022-07-12,72118.5714285714,222.857142857143,5575.42857142857,28471.4285714286
2022-07-13,71670.7142857143,697.428571428571,3885,29362.7142857143
2022-07-14,72855.2857142857,1215.28571428571,2632.57142857143,30143.7142857143
2022-07-15,74022.2857142857,1267.71428571429,2830,30220.5714285714
2022-07-16,70925.5714285714,1357.14285714286,3239.28571428571,29445.8571428571
2022-07-17,70835.8571428571,3271.85714285714,3151.28571428571,28361.5714285714
2022-07-18,73045.4285714286,3311.42857142857,3380.85714285714,29127.4285714286
2022-07-19,73014.1428571429,3894.71428571429,4287,29882.2857142857
2022-07-20,75326.8571428571,3618.14285714286,15437,30353.1428571429
2022-07-21,75713.1428571429,3223.28571428571,17997.5714285714,30818
2022-07-22,72729.1428571429,3255.71428571429,24924.2857142857,32111
2022-07-23,72802.1428571429,3119.85714285714,28754,33163.7142857143
2022-07-24,71612.7142857143,1201.85714285714,28081.5714285714,34242
2022-07-25,66403,1124.28571428571,32835.2857142857,32339.5714285714
2022-07-26,64864.7142857143,518.857142857143,33642.5714285714,32274.4285714286
2022-07-27,59921.4285714286,312.857142857143,24412.7142857143,30376
2022-07-28,57698.1428571429,586.285714285714,26015.2857142857,28932
2022-07-29,57642.5714285714,551.714285714286,26856.1428571429,26653.5714285714
2022-07-30,58064.2857142857,730.428571428571,32219.8571428571,24992.5714285714
2022-07-31,59384.8571428571,779.285714285714,32163.2857142857,24296.2857142857
2022-08-01,62942.8571428571,842.285714285714,28444.2857142857,23102.4285714286
2022-08-02,62319.2857142857,812,27217.8571428571,21321.7142857143
2022-08-03,62366.8571428571,823.428571428571,25542.7142857143,21129.7142857143
2022-08-04,60175.2857142857,426,22386,19333.5714285714
2022-08-05,58293.2857142857,559.714285714286,21100.1428571429,19115.7142857143
2022-08-06,60561.7142857143,370.571428571429,13953.7142857143,17766.5714285714
2022-08-07,58074,332,16780.2857142857,16077.1428571429
2022-08-08,54635.8571428571,356.571428571429,18480.4285714286,15287.7142857143
2022-08-09,54027,358.142857142857,20714.4285714286,14420.2857142857
2022-08-10,53869.1428571429,624.142857142857,22728.8571428571,13703.5714285714
2022-08-11,53996.1428571429,659.428571428571,22327.2857142857,13531.2857142857
2022-08-12,53083.1428571429,498.571428571429,19680.1428571429,13297.2857142857
2022-08-13,49350.4285714286,490.142857142857,20659.7142857143,12905.7142857143
2022-08-14,50091.2857142857,612.285714285714,24101.7142857143,12269.4285714286
2022-08-15,50251.8571428571,576.714285714286,27152.1428571429,11763
2022-08-16,49653.1428571429,564.428571428571,30057.4285714286,13007.1428571429
2022-08-17,51238.2857142857,254,40485,12994.2857142857
2022-08-18,51185.1428571429,486.857142857143,49072.8571428571,13158.1428571429
2022-08-19,50720.4285714286,511.571428571429,55492.2857142857,11487.1428571429
2022-08-20,51113,511.571428571429,61204.4285714286,12157.7142857143
2022-08-21,49252.4285714286,379.142857142857,58927.7142857143,12289.4285714286
2022-08-22,47091.7142857143,327.142857142857,55324,12633.2857142857
2022-08-23,47480.8571428571,324.285714285714,54421.8571428571,11456.5714285714
2022-08-24,45940.5714285714,454.714285714286,46812.1428571429,10768.8571428571
2022-08-25,46323.1428571429,202,42651.4285714286,10909.1428571429
2022-08-26,47852.4285714286,230,46379.1428571429,11853.8571428571
2022-08-27,45030.2857142857,294.857142857143,47038,11456.7142857143
2022-08-28,45486.7142857143,294.857142857143,46586.1428571429,11789.8571428571
2022-08-29,46761.8571428571,294.857142857143,50549.2857142857,11611.5714285714
2022-08-30,45862.7142857143,307.714285714286,51463.5714285714,12367.8571428571
2022-08-31,47365.7142857143,190.571428571429,52046.4285714286,12786.7142857143
2022-09-01,44865.2857142857,394.714285714286,50951.8571428571,12133.4285714286
2022-09-02,41795.7142857143,338,42041.1428571429,11044
2022-09-03,40736.5714285714,273.142857142857,40429.5714285714,11212.2857142857
2022-09-04,41187.1428571429,324.857142857143,41141.4285714286,11346.8571428571
2022-09-05,40849.2857142857,380.714285714286,38111.1428571429,12245.4285714286
2022-09-06,39140.8571428571,790.428571428571,40739.8571428571,11561.2857142857
2022-09-07,35620.1428571429,1415.71428571429,41334.7142857143,12002.1428571429
2022-09-08,39551.5714285714,1437.85714285714,48077.5714285714,12081.7142857143
2022-09-09,40174.8571428571,2289,56229.7142857143,12768.1428571429
2022-09-10,39863.7142857143,2349,51178.4285714286,11125.7142857143
2022-09-11,39534,2330.14285714286,50641.2857142857,12956.5714285714
2022-09-12,38994.4285714286,2394.57142857143,47662,12837.7142857143
2022-09-13,39552.1428571429,2070.57142857143,40639,12839.8571428571
2022-09-14,39376.5714285714,1654.71428571429,44158.2857142857,12054.7142857143
2022-09-15,36767.8571428571,1582,39787.5714285714,12610
2022-09-16,36649.4285714286,32965.4285714286,30460.7142857143,17625.4285714286
2022-09-17,37473.5714285714,33373.2857142857,30188.8571428571,19711.1428571429
2022-09-18,37173.5714285714,33467,26827.2857142857,18469.4285714286
2022-09-19,35750.2857142857,33657.4285714286,27178.8571428571,18477.1428571429
2022-09-20,35191,33589.2857142857,26252.1428571429,18536.5714285714
2022-09-21,35236.2857142857,33704.1428571429,16655.4285714286,19051.8571428571
2022-09-22,33776.5714285714,34273.7142857143,10736.4285714286,18842.5714285714
2022-09-23,34516.8571428571,2073.42857142857,7051.57142857143,13872
2022-09-24,32988.8571428571,1704.28571428571,6649.85714285714,12093.5714285714
2022-09-25,29692.7142857143,1638.71428571429,8744.85714285714,10654.5714285714
2022-09-26,29745.1428571429,1459.28571428571,8921,9916.14285714286
2022-09-27,29591.8571428571,1471,9521.14285714286,10504.7142857143
2022-09-28,31395.7142857143,1697.71428571429,9441,10722
2022-09-29,31435.2857142857,28330.1428571429,10985.1428571429,13382.1428571429
2022-09-30,32392.1428571429,28494.2857142857,13552.1428571429,14851.4285714286
2022-10-01,33966,29395,12440.5714285714,16282.5714285714
2022-10-02,35397.1428571429,29765.7142857143,10706.7142857143,16479.1428571429
2022-10-03,35634.5714285714,29824.2857142857,10563.1428571429,15980.1428571429
2022-10-04,34901,30130.1428571429,10710.4285714286,14942.2857142857
2022-10-05,32436.5714285714,29757.7142857143,10593.2857142857,13924.1428571429
2022-10-06,31617.8571428571,2468.14285714286,8877.85714285714,10362.5714285714
2022-10-07,29367.4285714286,2402.14285714286,6859,7990.57142857143
2022-10-08,26922.1428571429,1984.42857142857,5993,6046.71428571429
2022-10-09,25581.5714285714,1552.71428571429,5894.28571428571,5622.71428571429
2022-10-10,24094.5714285714,1525,5313.42857142857,5374.57142857143
2022-10-11,24150.8571428571,1196.14285714286,4734.57142857143,5097.71428571429
2022-10-12,23946.1428571429,1283.42857142857,4570.28571428571,4807.42857142857
2022-10-13,23009,1340,5672.14285714286,4899
2022-10-14,23073.5714285714,1322.28571428571,4602.42857142857,5387
2022-10-15,23224.4285714286,833.428571428571,4916.57142857143,5589.42857142857
2022-10-16,24777,927.571428571429,4547.28571428571,5327
2022-10-17,25751.8571428571,843.428571428571,4619,5171
2022-10-18,27623.2857142857,1839.85714285714,5596.57142857143,7894.85714285714
2022-10-19,28885.4285714286,4242.71428571429,5751.71428571429,10459.2857142857
2022-10-20,30745,4222.28571428571,7499.85714285714,12804
2022-10-21,31065.2857142857,6577,8248.42857142857,15949.8571428571
2022-10-22,31948.2857142857,6484.14285714286,7959.42857142857,19901
2022-10-23,30949.7142857143,6390,13643.1428571429,22260
2022-10-24,30711.1428571429,6312,14394.4285714286,24711.2857142857
2022-10-25,29071.1428571429,5369,12851.7142857143,23934.8571428571
2022-10-26,29037.4285714286,2844.85714285714,12845.8571428571,22562.5714285714
2022-10-27,27068.1428571429,3097,10630.5714285714,21229.1428571429
2022-10-28,26026.1428571429,620.428571428571,10063,19038
2022-10-29,24358.4285714286,649.571428571429,9362.71428571429,18311.2857142857
2022-10-30,21573.4285714286,692,3704.28571428571,18843
2022-10-31,19960.7142857143,781.857142857143,2847.42857142857,18012.7142857143
2022-11-01,18137.2857142857,709.285714285714,3275.85714285714,16443.1428571429
2022-11-02,15385.8571428571,564,3195,14813.8571428571
2022-11-03,13795.2857142857,294,2288.14285714286,14178.5714285714
2022-11-04,11945,349.571428571429,2189,17742.4285714286
2022-11-05,8644.71428571429,320.428571428571,2024.71428571429,17132.2857142857
2022-11-06,8237,296.142857142857,1947.42857142857,15736.5714285714
2022-11-07,7931.42857142857,243.428571428571,3197.14285714286,14149.5714285714
2022-11-08,8181.57142857143,432.142857142857,2932.85714285714,13740.4285714286
2022-11-09,8060.28571428571,435.571428571429,2736.57142857143,13583.1428571429
2022-11-10,8012.14285714286,500.571428571429,3578.14285714286,12863.8571428571
2022-11-11,7167.28571428571,442.142857142857,4226.71428571429,7901.57142857143
2022-11-12,7306.14285714286,442.142857142857,5025.71428571429,6935.57142857143
2022-11-13,6128.85714285714,424,7270.28571428571,5658.28571428571
2022-11-14,6053.42857142857,386.857142857143,8997.71428571429,6011.42857142857
2022-11-15,5601.57142857143,210,9039.28571428571,6268
2022-11-16,5390.14285714286,202.714285714286,9230.28571428571,6088.57142857143
2022-11-17,5288.14285714286,38.8571428571429,8749.71428571429,6754.14285714286
2022-11-18,5274.42857142857,34,8035.28571428571,8797.28571428571
2022-11-19,4794.28571428571,35.5714285714286,7235.42857142857,8102
2022-11-20,5220.85714285714,39.8571428571429,5924.42857142857,8116.71428571429
2022-11-21,5736.28571428571,55.5714285714286,4461.14285714286,8883.57142857143
2022-11-22,5857.71428571429,69.4285714285714,4306.14285714286,8512
2022-11-23,5855.85714285714,74.8571428571429,4337.85714285714,8485.28571428571
2022-11-24,6218.14285714286,95.4285714285714,3928.14285714286,7486.85714285714
2022-11-25,6503,90.8571428571429,3723.28571428571,5761.14285714286
2022-11-26,6536.28571428571,89.2857142857143,3837.42857142857,5008
2022-11-27,6409.14285714286,200.857142857143,3149.28571428571,4935.71428571429
2022-11-28,5493.71428571429,202.428571428571,2422.57142857143,3929.14285714286
2022-11-29,5342.85714285714,179.714285714286,3798.28571428571,3629.28571428571
2022-11-30,5349.85714285714,238.571428571429,4144.85714285714,3630.42857142857
2022-12-01,5519.14285714286,230.857142857143,5676.57142857143,3679.71428571429
2022-12-02,5482.28571428571,230.857142857143,6320.57142857143,2941.85714285714
2022-12-03,6532.42857142857,236,6533.71428571429,2320.42857142857
2022-12-04,5990.85714285714,130.142857142857,7359.14285714286,2049
2022-12-05,6266.42857142857,157.428571428571,6312.28571428571,1614.42857142857
2022-12-06,6434.14285714286,267.714285714286,5107,1990.28571428571
2022-12-07,6969.57142857143,259,5521.14285714286,2044.57142857143
2022-12-08,6787.57142857143,440.428571428571,4150,1837.42857142857
2022-12-09,7261,614.571428571429,5462.28571428571,2168.42857142857
2022-12-10,8423.28571428571,750.714285714286,7147.14285714286,3504
2022-12-11,9315.57142857143,1069.85714285714,10764.7142857143,7914.57142857143
2022-12-12,10385.4285714286,1379.57142857143,13776.5714285714,8081.28571428571
2022-12-13,11432.7142857143,1732.28571428571,13976.4285714286,7815.57142857143
2022-12-14,11639,1805.14285714286,14332.1428571429,7871.28571428571
2022-12-15,12845.2857142857,1713.14285714286,14297.4285714286,7932.28571428571
2022-12-16,15730.4285714286,1667.71428571429,13593.7142857143,9217.85714285714
2022-12-17,17452.8571428571,1782.71428571429,12076.2857142857,7868.57142857143
2022-12-18,19613.4285714286,1489.14285714286,7798.71428571429,3672.57142857143
2022-12-19,20957.7142857143,1270.42857142857,5156.71428571429,3539.71428571429
2022-12-20,20880.1428571429,820.142857142857,4735.85714285714,3866.28571428571
2022-12-21,20635.2857142857,691.428571428571,3915.42857142857,4059
2022-12-22,20482.4285714286,588.285714285714,5616.28571428571,4434.71428571429
2022-12-23,18996.2857142857,459.571428571429,4505,4589.42857142857
2022-12-24,17343,203.285714285714,3990.71428571429,4826.42857142857
2022-12-25,14208.8571428571,167.714285714286,3509.85714285714,4456
2022-12-26,13650.8571428571,32.1428571428571,3534.28571428571,4261.71428571429
2022-12-27,13875.7142857143,16.4285714285714,5343.57142857143,3895.42857142857
2022-12-28,14551.1428571429,0,6104,4254.14285714286
2022-12-29,14068,130.285714285714,4329.42857142857,4043.57142857143
2022-12-30,12524.2857142857,140.285714285714,4830,3099.14285714286
2022-12-31,11896,140.285714285714,5995.57142857143,2775.85714285714
2023-01-01,12665.2857142857,151.285714285714,5911.14285714286,2870.28571428571
2023-01-02,12873.8571428571,151.285714285714,7351.57142857143,2847
2023-01-03,11993.4285714286,151.285714285714,5932.57142857143,2892.28571428571
2023-01-04,10774.7142857143,151.285714285714,6356,2137.42857142857
2023-01-05,9710,21,6272.28571428571,1880.14285714286
2023-01-06,8614.57142857143,11,6419.57142857143,899.142857142857
2023-01-07,8882.57142857143,11,5960.57142857143,879
2023-01-08,9339.57142857143,0,6067.85714285714,894
2023-01-09,6902.28571428571,36.2857142857143,4363.57142857143,855.714285714286
2023-01-10,6435.71428571429,145,4060.42857142857,741.285714285714
2023-01-11,6235.57142857143,156.857142857143,2729.85714285714,779
2023-01-12,5972.28571428571,173.857142857143,4005.71428571429,711.142857142857
2023-01-13,5800,189.857142857143,4477.57142857143,679
2023-01-14,4388.57142857143,189.857142857143,4220.57142857143,719.571428571429
2023-01-15,3137.28571428571,232.285714285714,4568.85714285714,713.142857142857
2023-01-16,2882.28571428571,301,4684.71428571429,719.857142857143
2023-01-17,2846.57142857143,192.285714285714,4693.85714285714,687.142857142857
2023-01-18,2847.71428571429,559.285714285714,4315.14285714286,653.428571428571
2023-01-19,2923.14285714286,7327.14285714286,3028.85714285714,741.714285714286
2023-01-20,2975,7392.14285714286,2220.42857142857,699.428571428571
2023-01-21,3036,7392.14285714286,2153.57142857143,3036.14285714286
2023-01-22,3680.14285714286,7361.28571428571,3864.42857142857,3545.42857142857
2023-01-23,3623,7257.42857142857,3951.42857142857,3520
2023-01-24,3562.28571428571,7289.57142857143,3780.28571428571,3579
2023-01-25,3636.28571428571,7206.14285714286,4588.85714285714,3514.85714285714
2023-01-26,3457.57142857143,421.285714285714,4711.14285714286,3280.14285714286
2023-01-27,3608.57142857143,340.285714285714,4507.28571428571,3281.71428571429
2023-01-28,3172.57142857143,340.285714285714,4165.28571428571,855.571428571429
2023-01-29,2510.14285714286,328.714285714286,1899.42857142857,243.142857142857
2023-01-30,2582.42857142857,616.428571428571,2307,177
2023-01-31,2663.14285714286,3993.14285714286,2751.42857142857,146.714285714286
2023-02-01,2709.71428571429,3914,2180.57142857143,174.428571428571
2023-02-02,2822.28571428571,3914,2085.28571428571,266
2023-02-03,2980.28571428571,3914,2200.57142857143,278.714285714286
2023-02-04,3343.85714285714,3914,2289.57142857143,349.714285714286
2023-02-05,3709,3914,4753.71428571429,393.428571428571
2023-02-06,3824,3931,6139,2561.71428571429
2023-02-07,3782.28571428571,4415.85714285714,9781.14285714286,4172
2023-02-08,4040.42857142857,4219.71428571429,12819.8571428571,4536.57142857143
2023-02-09,4430.85714285714,4222,12792.1428571429,4783.28571428571
2023-02-10,5237.28571428571,4312.85714285714,12800,5071.71428571429
2023-02-11,11950.4285714286,5905.57142857143,12758.5714285714,6098.42857142857
2023-02-12,12548,5921.14285714286,10293.1428571429,6393.85714285714
2023-02-13,12981.8571428571,5664,8799,4706.57142857143
2023-02-14,13453.7142857143,1910.42857142857,6952.42857142857,3100.42857142857
2023-02-15,13664.4285714286,2282,4163,3039.71428571429
2023-02-16,13762.4285714286,17288.2857142857,4088.42857142857,3805.85714285714
2023-02-17,13075.7142857143,17520.5714285714,4603.85714285714,3563.85714285714
2023-02-18,9630.28571428571,15927.8571428571,5638.71428571429,3032.71428571429
2023-02-19,12487,15913.4285714286,6467.28571428571,3096.28571428571
2023-02-20,12971.8571428571,16095.1428571429,6147.42857142857,2729.71428571429
2023-02-21,12668.1428571429,15955,4257,2766.85714285714
2023-02-22,12485.4285714286,15568.7142857143,4261.14285714286,2619.42857142857
2023-02-23,12533.4285714286,685.571428571429,4642,1751
2023-02-24,13020.4285714286,431.428571428571,4045.14285714286,2192
2023-02-25,10748.4285714286,431.428571428571,3439.42857142857,2339.85714285714
2023-02-26,7769.71428571429,472.285714285714,3417.14285714286,2217.28571428571
2023-02-27,6712,336,3186.14285714286,2287.42857142857
2023-02-28,6737.28571428571,496.428571428571,2876.28571428571,2357.42857142857
2023-03-01,6688.71428571429,635,3231.28571428571,2274.85714285714
2023-03-02,6459.85714285714,531.428571428571,3057,2117.14285714286
